codgeo,libgeo,code_epci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
68357,Waltenheim,200066058,0,2,14,500,99.0,100.0
68358,Wasserbourg,246800585,0,3,36,410,0.0,0.0
68359,Wattwiller,200036465,0,10,41,1626,0.0,0.0
68360,Weckolsheim,200066025,0,4,17,718,,
68361,Wegscheid,246800676,0,3,22,214,,
68362,Wentzwiller,200066058,0,3,29,660,0.0,0.0
68363,Werentzhouse,200066041,0,4,19,546,0.0,0.0
68364,Westhalten,246800494,0,7,28,952,0.0,0.0
68365,Wettolsheim,246800726,0,14,31,1429,9.66,50.0
68366,Wickerschwihr,246800726,0,4,13,622,0.0,0.0
68367,Widensolen,200066025,0,3,28,1178,,
68368,Wihr-au-Val,246800585,1,10,38,1149,100.0,100.0
68370,Wildenstein,246800205,0,4,16,125,0.0,0.0
68371,Willer,200066041,0,1,13,248,0.0,0.0
68372,Willer-sur-Thur,200036465,1,15,51,1566,99.87,100.0
68373,Winkel,200066041,0,3,15,324,0.0,0.0
68374,Wintzenheim,246800726,3,37,92,6094,100.0,100.0
68375,Wittelsheim,200066009,1,65,157,10313,94.06,95.38
68376,Wittenheim,200066009,0,104,160,14045,0.46,1.92
68377,Wittersdorf,200066041,0,7,22,741,99.46,100.0
68378,Wolfersdorf,200066033,0,3,14,302,100.0,100.0
68379,Wolfgantzen,200066025,0,9,28,1144,,
68380,Wolschwiller,200066041,0,1,22,424,0.0,0.0
68381,Wuenheim,246800569,0,5,23,680,0.0,0.0
68382,Zaessingue,200066058,0,3,16,363,0.0,0.0
68383,Zellenberg,246800577,0,2,9,338,,
68384,Zillisheim,200066009,2,8,43,2302,100.0,100.0
68385,Zimmerbach,246800726,0,4,15,696,100.0,100.0
68386,Zimmersheim,200066009,0,4,25,920,48.99,25.0
69001,Affoux,200040566,0,2,41,312,0.0,0.0
69002,Aigueperse,200067817,0,4,56,221,0.0,0.0
69003,Albigny-sur-Saône,200046977,1,16,35,2018,100.0,100.0
