code_epci,pv_mwh,pv_sites,pv_kwh_par_hab
241300375,6224.6,232,224.6
244400701,598.2,137,
245200480,1162.4,45,
241500271,2147.0,82,325.5
245501465,309.2,44,
242100501,1404.1,47,
248500035,1625.5,15,
243100781,3880.3,470,91.3
240500488,942.1,59,
240300616,17786.8,302,
240400499,3276.3,48,
200036135,2870.6,99,158.6
242101509,2714.6,231,132.4
200035707,12923.9,275,798.5
200040772,4853.7,117,530.4
242300101,821.5,77,
242852515,42.9,16,
244900882,1747.9,11,50.3
200041994,0.0,0,0.0
246701114,1075.1,81,
200030674,20065.6,618,332.9
200000610,1358.3,105,
242320034,1481.7,67,
241400738,377.1,35,
243100880,2502.7,202,
240300533,781.9,121,
200058360,156.2,2,7.4
241501097,3759.7,38,
246500375,5858.2,257,
245501259,169.0,66,24.4
244200721,928.4,197,
247300817,531.0,132,54.9
248900938,315.1,70,15.3
241100429,924.9,81,
247600703,157.4,28,
200023877,639.8,57,
200040590,4181.2,887,57.3
246000111,97.5,42,
243500543,998.3,117,
240300590,2183.6,120,
200040442,15448.8,422,280.9
243400710,6148.9,6,
200036572,4807.5,99,945.6
200006682,2786.1,500,55.2
241200641,4501.5,141,371.6
244100764,904.6,63,
243400819,22560.0,794,279.5
242700490,725.7,107,
244400453,1278.5,201,76.7
242214393,121.8,36,
246400030,5338.3,478,
245000690,162.3,42,
240600585,5732.6,778,31.5
200040780,1735.6,165,
241400894,373.1,83,
248719338,2528.6,70,473.5
200039824,642.9,111,66.2
200030435,6707.5,382,520.8
200022994,401.7,53,
244900973,2525.9,146,
240500462,89.8,25,13.7
200041861,471.2,127,42.8
246700306,180.0,54,8.8
245000807,323.2,37,
248400285,1907.4,145,74.8
246500490,1499.6,124,
200056380,530.8,172,2.9
246600464,1031.8,77,175.2
200059400,2906.7,188,113.1
246700793,718.6,4,
200035269,971.7,189,
245501366,99.3,36,
200017762,1652.6,53,
243200425,19980.0,119,2586.4
246900633,1183.6,193,
200033868,901.4,172,61.3
242504181,1482.7,276,55.5
242214294,2113.0,101,
245200563,721.6,53,
246401657,2485.6,232,
244000832,3273.8,279,
200042414,809.9,92,81.6
240900316,0.0,0,
200012136,4101.2,82,
200040863,977.8,206,
200017341,16998.3,183,1149.9
245804489,393.8,27,
245701362,817.8,310,9.8
244800355,1103.6,27,
243600350,1939.8,119,120.1
245501176,1042.5,44,218.3
200046977,25354.0,2810,17.8
243400553,140.3,43,
249500513,0.0,0,0.0
200001105,1051.0,111,
240500439,519.7,75,27.6
246401756,3002.1,247,104.1
240400374,4905.6,83,
200057859,1275.3,491,6.2
248500530,3472.5,458,175.2
242504421,1038.2,101,
200040319,468.1,67,
242101475,904.9,134,
200035806,502.3,78,
200033686,1085.7,270,
241800531,258.4,36,
244500484,158.1,2,9.0
244100269,342.0,55,
248200099,14983.1,32,191.6
240500199,3917.1,134,
240100578,424.3,74,69.8
242900694,1995.6,272,35.3
241927292,2027.0,38,
200007425,674.7,76,
248200115,696.0,85,
244400545,2072.0,262,
246701239,1187.2,96,
243600236,11972.2,233,633.5
243901071,227.5,43,40.0
243500667,3181.1,227,82.6
247300791,411.4,92,
241800432,2618.8,54,522.4
248900524,566.6,89,55.7
243500709,660.4,7,
247300338,400.1,2,
200030559,615.8,87,
245804521,656.7,56,
242900652,2169.9,88,
247300361,110.0,39,14.8
200033298,2359.1,367,87.6
240900357,74.4,14,
243200516,429.9,28,
246800205,350.6,89,29.0
248200040,220.1,1,
241400548,126.1,33,
241000371,1375.8,28,
246401814,3325.7,274,
245400379,675.2,206,
243900974,176.2,33,
245101050,6130.3,42,
249100553,129.0,44,4.6
200009611,4413.3,62,
242700623,476.0,133,17.8
200012060,427.4,70,66.9
242900728,535.1,9,
241200872,623.6,19,
200043776,3670.9,205,270.3
245400700,489.6,143,
245501184,385.9,46,55.5
244200796,17780.9,1056,
240400408,244.3,34,
243800455,544.4,4,
