code_epci,libepci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
200067304,?,2,198,1108,21962,5.04,5.05
200067320,?,0,72,567,6678,,
200067346,?,6,347,2826,62640,30.5,31.12
200067361,?,4,496,5160,38193,25.96,28.23
200067379,?,0,121,617,11306,,
200067429,?,2,136,843,10505,24.5,36.76
200067437,?,1,432,2376,42402,4.26,3.01
200067445,?,2,129,806,9098,36.22,28.68
200067452,?,1,154,537,7260,9.4,8.44
200067460,?,0,496,5807,49013,,
200067478,?,0,241,1938,18073,,
200067486,?,2,213,1056,22539,12.87,15.49
200067502,?,2,407,1229,44669,7.86,8.11
200067510,?,4,290,3296,22522,20.82,29.66
200067544,?,2,199,2552,14554,1.27,2.01
200067551,?,3,471,2023,84912,34.08,36.94
200067593,?,1,198,2365,11600,4.16,4.55
200067627,?,1,192,1346,25034,7.61,5.21
200067635,?,4,312,2152,52012,26.28,35.58
200067643,?,4,160,507,14609,42.37,40.62
200067650,?,0,170,761,20652,,
200067668,?,0,172,2108,18688,,
200067676,?,1,223,2607,24400,6.33,5.83
200067684,?,1,381,1171,42282,35.49,38.32
200067692,?,2,148,1267,8325,15.41,23.65
200067700,?,3,169,1347,17953,28.34,42.6
200067742,?,2,185,968,15392,44.44,35.14
200067759,?,5,188,1008,21166,27.17,25.53
200067767,?,0,112,898,8834,,
200067783,?,4,241,904,24593,28.76,27.39
200067791,?,3,253,1541,28914,32.37,33.99
200067817,?,2,356,2825,40696,32.29,23.6
200067825,?,1,384,1662,46202,36.6,42.45
200067841,?,2,238,986,22649,11.06,13.87
200067866,?,1,260,2184,47082,4.44,5.0
200067874,?,7,594,1360,88086,52.93,51.52
200067882,?,2,212,2516,13066,18.3,20.28
200067890,?,0,164,1999,10050,,
200067908,?,0,98,1226,7830,,
200067916,?,4,216,1885,22691,28.36,29.63
200067924,?,5,332,841,45046,30.02,33.43
200067932,?,1,964,6347,168574,13.15,12.97
200067940,?,0,373,3309,25682,,
200067957,?,2,153,642,18076,8.06,9.15
200067965,?,3,478,924,69354,28.02,42.47
200067973,?,11,399,1344,58719,38.89,39.85
200067981,?,18,564,6746,63976,28.95,38.83
200067999,?,4,654,1884,95270,31.99,29.51
200068005,?,1,185,824,19806,2.44,2.16
200068047,?,5,522,498,73246,73.89,67.62
200068070,?,3,269,1418,23668,10.14,9.29
200068088,?,3,151,1420,16993,25.74,29.8
200068096,?,0,178,1062,10416,,
200068104,?,0,660,4770,100267,,
200068112,?,3,286,798,33574,43.07,36.01
200068120,?,1,585,3834,92402,21.74,25.98
200068146,?,3,480,1807,40190,31.66,26.46
200068229,?,0,261,2117,18819,,
200068278,?,1,152,1378,16652,19.72,19.08
200068294,?,2,172,837,14414,25.4,29.65
200068369,?,0,209,1013,16766,,
200068377,?,3,223,1458,26241,44.83,55.61
200068435,?,2,107,1494,10256,18.5,28.04
200068443,?,0,113,1717,11281,,
200068450,?,1,259,2409,29162,25.71,26.64
200068468,?,1,228,2187,21036,24.8,21.49
200068484,?,2,184,1259,13092,15.25,18.48
200068500,?,4,474,1573,71508,34.06,33.54
200068534,?,3,310,2185,32260,9.01,18.06
200068542,?,0,572,3577,73194,,
200068559,?,1,252,1100,21389,25.01,19.44
200068567,?,6,506,3320,53622,29.22,33.4
200068625,?,14,212,1267,9438,22.52,19.81
200068641,?,4,686,3007,114860,21.75,27.26
200068658,?,4,399,1354,40068,38.35,31.58
200068666,?,2,441,1738,49390,23.73,22.45
200068674,?,6,441,2086,71347,42.56,47.85
200068682,?,2,172,782,17212,43.89,38.37
200068757,?,10,759,3965,97545,37.1,35.31
200068765,?,3,340,2250,21669,40.74,34.12
200068773,?,0,175,991,10817,,
200068781,?,3,1480,7428,206892,27.07,26.35
200068799,?,1,304,5308,43780,19.36,27.3
200068807,?,3,222,1805,31490,35.99,47.3
