codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
245400171,,24760,7.4,2.6,15000,38760,60.7,12155,27850,19160.4,74.5,68.1,2.1,4.3,31.2,6.2,3.9,1.7,0.6,1.6,-15.8
245400189,,23550,10.3,2.7,13760,36690,54.9,12523,28224,19499.7,72.5,66.3,2.3,3.9,31,5.9,5.2,1.9,0.9,2.4,-14.6
245400262,,23050,21.1,4.6,9730,44770,30.7,25183,56016,38737.1,36.2,30.9,2.6,2.7,20.4,47.1,4.1,1,1,2.1,-7.8
245400510,,23000,9.4,2.4,14100,34460,49.8,4487,10915,7316.6,74.9,67.9,2.4,4.6,28.1,5.4,4.8,2.3,0.6,1.9,-13.2
245400601,,23640,11.4,2.8,13390,37770,55.2,17007,38279,26439.5,72.8,66.4,2.4,4,31.4,6,4.9,1.8,0.9,2.2,-15.1
245400676,,22720,19,3.9,10820,42270,53.5,112482,222151,160734.1,73.8,64.3,2.6,6.9,29.1,8.3,6.8,1.8,1.7,3.3,-18
245400759,,23760,7.9,2.5,14520,36260,53.4,2429,5767,3913.6,72.1,63.7,2,6.4,29.5,8.4,4,1.9,0.6,1.5,-14
245500327,,21190,16.3,2.8,11850,33600,47,3657,7827,5517.7,64.6,56,2.6,6,35.8,6.6,6.2,2.1,1.2,2.9,-13.2
245501176,,22370,12.8,2.8,12930,36060,46.9,2064,4711,3234.7,70.1,58.5,2.2,9.4,29.9,8.8,4.6,1.9,0.6,2.1,-13.4
245501184,,22190,12.4,2.6,13020,33750,49.2,3025,6708,4675.9,67.4,59.2,2.1,6.1,34.3,6.8,5.3,1.8,1,2.5,-13.8
