CODGEO,revenu_median_2019
04088,19390.0
04090,18730.0
04094,21510.0
04096,20290.0
04097,20480.0
04099,18840.0
04101,17380.0
04102,17010.0
04104,17060.0
04106,22560.0
04108,19990.0
04109,22530.0
04110,22380.0
04111,20390.0
04112,20060.0
04113,22300.0
04115,19190.0
04116,19840.0
04118,19710.0
04121,20310.0
04122,22810.0
04123,21770.0
04124,19950.0
04126,19140.0
04127,21730.0
04128,21460.0
04130,20190.0
04132,20060.0
04133,20430.0
04134,19330.0
04135,20480.0
04136,22690.0
04138,22590.0
04139,21020.0
04140,23600.0
04141,20790.0
04143,22120.0
04144,16310.0
04145,20490.0
04148,20180.0
04149,20620.0
04150,17010.0
04151,22040.0
04152,26410.0
04155,17350.0
04156,21890.0
04157,20930.0
04158,18980.0
04160,20750.0
04161,18060.0
04162,17980.0
04163,18850.0
04166,19400.0
04167,22100.0
04172,19790.0
04173,21560.0
04174,21870.0
04176,23660.0
04178,20420.0
04182,19280.0
04183,21390.0
04184,17990.0
04188,20210.0
04189,20630.0
04192,22460.0
04193,18140.0
04194,17690.0
04195,21830.0
04197,21350.0
04199,20120.0
04200,23430.0
04201,18620.0
04202,19140.0
04203,19550.0
04204,19110.0
04205,19890.0
04206,21410.0
04208,20440.0
04209,19810.0
04211,19060.0
04214,18600.0
04216,19660.0
04217,20070.0
04218,17110.0
04219,19270.0
04220,20560.0
04222,20520.0
04226,21350.0
04227,18810.0
04229,20260.0
04230,21270.0
04231,20710.0
04233,18240.0
04234,21520.0
04237,20450.0
04240,18570.0
04241,19940.0
04242,22000.0
04244,20860.0
04245,21990.0
05001,19400.0
05003,20410.0
05004,21850.0
05006,19930.0
05007,19360.0
05008,17320.0
05010,18800.0
05011,20660.0
05012,21020.0
05013,20740.0
05014,17430.0
05016,20700.0
05017,21990.0
05018,26220.0
05019,21060.0
05021,19700.0
05022,18900.0
05023,20490.0
05024,17550.0
05025,21550.0
05026,23100.0
05027,20140.0
05028,17160.0
05029,21150.0
05031,19400.0
05032,20040.0
05036,21100.0
05037,26470.0
05038,20560.0
05039,19260.0
05040,22010.0
05044,17820.0
05045,20450.0
05046,20670.0
05048,17900.0
05050,18230.0
05052,21400.0
05053,19750.0
05054,19740.0
05055,18460.0
05056,19210.0
05057,26740.0
05058,20700.0
05059,23050.0
