CODGEO,nb_panier_elargi,nb_A1,nb_A2,nb_A4,nb_A5,nb_B1,nb_B2,nb_B3,nb_C2,nb_C6,nb_D1,nb_D3,nb_D4,nb_D5,nb_D6,nb_E1,nb_F1,nb_F3
30128,113,2,3,47,18,1,12,9,0,0,0,1,0,4,0,1,14,1
30129,17,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,2,1
30130,44,2,1,10,9,0,4,2,1,0,0,1,1,0,2,1,9,1
30131,50,1,1,8,22,0,5,5,0,0,1,1,0,1,1,0,4,0
30132,132,2,4,49,19,1,7,14,2,0,3,4,3,5,2,2,13,2
30133,619,4,10,66,276,4,76,141,1,0,0,5,2,9,5,1,16,3
30134,7,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0
30135,92,1,1,46,18,0,7,1,0,0,0,1,0,5,0,0,11,1
30136,36,1,1,21,3,0,3,2,0,0,0,0,0,1,0,0,3,1
30137,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30138,59,1,1,29,7,1,2,7,0,0,0,1,0,4,0,0,5,1
30139,15,1,1,6,2,0,1,1,0,0,0,0,0,2,0,0,0,1
30140,45,3,1,13,9,0,5,2,0,0,1,1,1,3,0,0,5,1
30141,146,2,3,57,36,1,7,10,0,0,0,2,1,4,2,0,19,2
30142,26,1,0,11,4,0,1,2,0,0,0,0,0,3,0,0,3,1
30143,8,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
30144,9,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3,1
30145,55,1,1,31,14,0,3,0,0,0,0,0,0,1,0,0,3,1
30146,60,1,2,25,12,1,4,2,1,0,0,1,1,2,0,0,7,1
30147,42,1,0,15,10,0,2,2,0,0,1,1,1,2,0,0,6,1
30148,7,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30149,29,3,1,15,4,0,1,0,0,0,0,0,0,0,0,0,4,1
30150,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30151,19,2,1,2,5,0,0,2,0,0,1,1,0,0,0,0,4,1
30152,65,1,1,16,23,0,6,6,0,0,1,1,0,1,0,0,8,1
30153,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30154,11,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,4,1
30155,163,1,2,77,36,1,9,15,1,0,0,3,1,7,2,0,7,1
30156,252,3,4,101,54,4,23,27,1,0,1,4,2,7,1,0,19,1
30158,11,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30159,21,1,1,6,1,0,2,0,1,0,0,0,1,0,0,0,7,1
30160,11,1,0,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0
30161,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30162,20,2,1,5,4,0,2,3,0,0,0,0,0,1,0,0,1,1
30163,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30164,34,1,1,8,6,1,1,1,0,0,0,0,0,3,0,0,11,1
30165,39,1,1,17,8,0,1,5,0,0,0,0,0,3,0,0,2,1
30166,62,2,1,25,19,0,4,2,0,0,0,1,1,0,0,0,6,1
30167,22,1,0,8,2,0,0,2,0,0,0,0,0,3,0,0,5,1
30168,23,1,1,9,7,0,1,0,0,0,0,0,0,0,0,0,2,2
30169,172,2,3,80,39,3,17,8,0,0,0,3,1,3,0,1,11,1
30170,35,2,0,22,2,0,0,1,0,0,0,0,0,1,4,0,2,1
30171,24,1,1,8,2,0,2,4,0,0,0,1,1,0,0,0,3,1
30172,23,1,1,9,3,0,2,0,0,0,0,0,0,0,1,0,5,1
30173,43,1,0,25,1,0,1,3,0,0,0,1,2,0,2,0,6,1
30174,58,1,1,28,10,2,3,9,0,0,0,1,0,0,0,0,2,1
30175,7,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
30176,10,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0
30177,20,1,0,12,4,0,0,1,0,0,0,0,0,0,0,0,1,1
30178,39,1,1,15,11,0,4,1,0,0,0,0,0,1,0,0,5,0
30179,87,1,1,39,17,1,8,5,0,0,0,1,1,2,0,0,10,1
