CODGEO,diversite_equip,dens_services,dens_commerces,dens_enseignement,dens_sante,dens_transports,dens_sport_culture,sup_services,sup_commerces,sup_enseignement,sup_sante,sup_transports,sup_sport_culture
15172,0,11.24,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15173,1,17.54,0.0,0.0,0.0,0.0,8.77,0,0,0,0,0,1
15174,2,22.9,0.0,0.0,0.0,0.0,15.27,1,0,0,0,0,1
15175,5,18.96,6.64,0.95,4.74,0.0,4.74,1,1,1,1,0,1
15176,2,8.4,8.4,0.0,0.0,0.0,12.61,0,1,0,0,0,1
15178,2,13.79,0.0,0.0,13.79,0.0,6.9,0,0,0,1,0,1
15179,1,20.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15180,0,12.99,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15181,3,19.37,7.04,0.0,0.0,0.0,5.28,1,1,0,0,0,1
15182,1,7.87,0.0,0.0,0.0,0.0,23.62,0,0,0,0,0,1
15183,1,15.38,0.0,0.0,0.0,0.0,7.69,0,0,0,0,0,1
15184,2,10.26,3.85,0.0,1.28,0.0,1.28,0,1,0,1,0,0
15185,2,20.08,4.02,0.0,0.0,0.0,4.02,1,1,0,0,0,0
15186,2,21.55,4.31,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15187,5,20.08,16.04,0.47,4.52,0.16,3.89,1,1,1,1,1,0
15188,1,13.52,6.76,0.0,0.0,0.0,3.38,0,1,0,0,0,0
15189,2,22.22,0.0,0.0,0.0,0.0,22.22,1,0,0,0,0,1
15190,0,10.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15191,4,21.81,3.12,0.0,4.67,0.0,6.23,1,1,0,1,0,1
15192,3,17.12,6.85,0.0,3.42,0.0,13.7,0,1,0,1,0,1
15194,1,19.61,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15196,5,19.44,4.54,0.65,3.24,0.0,6.48,1,1,1,1,0,1
15198,1,27.52,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15199,0,13.89,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15200,2,26.67,0.0,0.0,0.0,0.0,6.67,1,0,0,0,0,1
15201,2,22.62,0.0,0.0,0.0,0.0,13.57,1,0,0,0,0,1
15202,3,26.76,2.82,0.0,7.04,0.0,7.04,1,0,0,1,0,1
15203,1,5.46,0.0,0.0,0.0,0.0,5.46,0,0,0,0,0,1
15204,2,14.35,5.22,0.0,1.96,0.0,1.96,0,1,0,1,0,0
15205,2,28.57,9.52,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15206,2,20.83,0.0,0.0,0.0,0.0,6.94,1,0,0,0,0,1
15207,1,14.49,0.0,0.0,0.0,0.0,8.7,0,0,0,0,0,1
15208,3,30.08,7.52,0.0,0.0,0.0,7.52,1,1,0,0,0,1
15209,1,24.39,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15211,1,27.78,0.0,0.0,0.0,0.0,3.47,1,0,0,0,0,0
15212,3,19.28,5.51,0.0,0.0,0.0,5.51,1,1,0,0,0,1
15213,2,40.61,0.0,0.0,0.0,0.0,10.15,1,0,0,0,0,1
15214,0,11.63,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15215,1,10.66,2.66,0.0,2.66,0.0,3.55,0,0,0,1,0,0
15216,4,18.87,7.08,0.0,2.36,0.0,4.72,1,1,0,1,0,1
15217,0,9.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15218,2,42.86,14.29,0.0,0.0,0.0,0.0,1,1,0,0,0,0
15219,4,41.14,53.8,0.0,6.33,0.0,6.33,1,1,0,1,0,1
15220,1,20.83,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15221,1,14.6,1.46,0.0,1.46,0.0,2.92,0,0,0,1,0,0
15222,1,14.56,0.0,0.0,0.0,0.0,4.85,0,0,0,0,0,1
15223,1,18.52,0.0,0.0,0.0,0.0,4.63,0,0,0,0,0,1
15224,2,23.81,0.0,0.0,0.0,0.0,23.81,1,0,0,0,0,1
15225,2,13.89,4.63,0.0,0.0,0.0,9.26,0,1,0,0,0,1
15226,2,19.14,0.0,0.0,0.0,0.0,4.78,1,0,0,0,0,1
15228,1,13.16,2.19,0.0,0.0,0.0,10.96,0,0,0,0,0,1
15229,0,12.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
