codgeo,libgeo,code_epci,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
29232,Quimper,200068120,38,361,1052,57224,93.75,94.46
29233,Quimperlé,242900694,10,91,307,11390,90.4,84.62
29234,Rédené,242900694,2,23,221,2750,52.28,78.26
29235,Le Relecq-Kerhuon,242900314,7,42,134,10664,100.0,100.0
29236,Riec-sur-Bélon,242900694,5,24,425,4404,72.2,83.33
29237,La Roche-Maurice,242900801,2,7,105,1567,91.86,100.0
29238,Roscanvel,200066868,1,6,94,830,73.3,100.0
29239,Roscoff,200067072,2,18,126,3022,84.7,100.0
29240,Rosnoën,200066868,1,6,169,990,61.24,100.0
29241,Rosporden,242900769,7,47,466,7088,78.0,97.87
29243,Saint-Coulitz,200067247,0,2,45,328,46.26,0.0
29244,Saint-Derrien,242900751,1,6,84,782,79.17,100.0
29245,Saint-Divy,242900801,2,12,83,1566,95.85,100.0
29246,Saint-Eloy,242900801,0,3,25,212,0.0,0.0
29247,Saint-Évarzec,242900660,4,26,234,3306,69.27,88.46
29248,Saint-Frégant,242900793,1,2,75,674,87.18,100.0
29249,Saint-Goazec,242900561,1,5,111,726,72.36,100.0
29250,Saint-Hernin,242900744,1,5,129,628,63.54,100.0
29251,Saint-Jean-du-Doigt,242900835,1,3,100,547,47.44,100.0
29252,Saint-Jean-Trolimon,242900702,1,4,96,852,82.34,100.0
29254,Saint-Martin-des-Champs,242900835,2,55,115,3801,97.9,92.73
29255,Saint-Méen,242900793,1,7,62,916,80.41,85.71
29256,Saint-Nic,200067247,1,7,101,772,50.23,100.0
29257,Saint-Pabu,242900553,2,11,122,2120,85.71,100.0
29259,Saint-Pol-de-Léon,200067072,5,48,283,6585,91.76,95.83
29260,Saint-Renan,242900074,6,63,150,7473,98.74,98.41
29261,Saint-Rivoal,200067197,1,4,32,172,77.91,100.0
29262,Saint-Sauveur,242900751,1,8,67,723,84.58,100.0
29263,Saint-Ségal,200067247,1,5,83,925,81.73,80.0
29264,Saint-Servais,242900751,1,6,65,699,89.56,66.67
29265,Sainte-Sève,242900835,1,11,60,1017,92.43,100.0
29266,Saint-Thégonnec Loc-Eguiner,242900835,4,19,247,2918,70.82,89.47
29267,Saint-Thois,242900561,1,9,117,644,55.78,88.89
29268,Saint-Thonan,242900801,1,11,81,1849,89.91,100.0
29269,Saint-Thurien,242900694,1,9,136,976,66.29,88.89
29270,Saint-Urbain,242900801,1,9,95,1646,91.56,100.0
29271,Saint-Vougay,242900751,1,7,109,749,82.78,100.0
29272,Saint-Yvi,242900769,3,15,224,2976,56.97,93.33
29273,Santec,200067072,2,8,112,2416,79.04,100.0
29274,Scaër,242900694,4,38,663,5122,45.69,89.47
29275,Scrignac,200067197,1,10,197,738,39.77,80.0
29276,Sibiril,200067072,2,8,120,1090,61.53,87.5
29277,Sizun,242900751,2,21,205,2162,73.06,85.71
29278,Spézet,242900561,1,12,284,1756,49.19,83.33
29279,Taulé,242900835,2,23,227,2602,73.79,100.0
29280,Telgruc-sur-Mer,200066868,2,16,196,2167,65.27,81.25
29281,Tourch,242900769,1,8,138,918,59.31,100.0
29282,Trébabu,242900074,0,1,28,369,0.0,0.0
29284,Treffiagat,242900702,1,7,118,2322,76.44,85.71
29285,Tréflaouénan,200067072,1,4,60,414,78.29,100.0
29286,Tréflévénez,242900801,0,2,39,253,0.0,0.0
29287,Tréflez,200067072,1,10,118,962,86.39,80.0
29288,Trégarantec,242900793,0,3,41,546,4.21,0.0
29289,Trégarvan,200067247,0,1,27,114,0.0,0.0
29290,Tréglonou,242900553,0,3,41,669,0.0,0.0
29291,Trégourez,242900561,1,7,120,884,69.33,100.0
29292,Tréguennec,242900702,1,5,58,272,89.34,80.0
29293,Trégunc,242900769,5,33,515,6856,59.57,100.0
29294,Le Tréhou,242900801,1,10,81,621,77.94,90.0
29295,Trémaouézan,242900801,1,2,48,530,94.9,100.0
29296,Tréméoc,242900702,1,4,91,1314,76.72,100.0
29297,Tréméven,242900694,1,11,140,2398,88.15,100.0
