code_epci,score_socle,taux_couverture_socle
243800745,56.28,57.71
247300262,34.13,35.0
243301397,31.51,32.32
200042372,34.51,35.39
200072692,47.12,48.33
200071819,39.66,40.68
240900431,37.69,38.66
240700815,38.09,39.06
200068856,44.25,45.38
242400935,50.82,52.12
200067676,32.83,33.67
241700632,30.28,31.06
200067957,26.47,27.15
200069912,41.38,42.44
200042000,28.9,29.64
200041879,30.41,31.18
200044253,26.38,27.05
247300528,42.26,43.33
200070928,28.85,29.59
244200622,45.66,46.83
200070340,53.4,54.76
241800432,44.21,45.34
241600303,36.32,37.25
200068443,47.79,49.01
247103765,28.02,28.73
200066850,28.03,28.75
200069060,35.84,36.76
200072700,27.76,28.47
200034833,34.85,35.74
200069003,31.12,31.92
200029999,42.1,43.17
200066751,37.95,38.92
200006930,59.11,60.62
242400752,38.66,39.64
200069722,28.86,29.6
200067122,39.61,40.62
200070811,33.45,34.3
243600293,42.74,43.83
200069656,37.45,38.4
247600505,31.03,31.82
241800374,33.5,34.35
200068294,31.66,32.47
200041465,44.21,45.34
240800847,37.64,38.6
241927243,42.92,44.02
245701206,25.3,25.95
246000848,24.54,25.17
240200576,31.39,32.19
242101459,30.76,31.55
200067767,47.22,48.43
245300223,33.63,34.49
246000913,26.62,27.3
200069094,31.88,32.7
200067841,33.42,34.27
248900524,34.83,35.72
243600202,46.95,48.15
200071777,31.94,32.75
200041168,40.13,41.15
242000495,42.76,43.85
200066728,32.86,33.7
200040251,27.12,27.81
200040137,30.65,31.44
245300306,44.11,45.24
245501184,35.84,36.76
200066025,31.33,32.13
200042182,40.22,41.24
247400682,41.94,43.02
200039832,35.98,36.9
200035764,35.76,36.68
200070290,39.04,40.04
244300307,50.48,51.77
245300389,34.51,35.39
200040475,35.34,36.25
240200444,32.48,33.31
240300657,38.79,39.78
200069540,34.35,35.22
200066108,27.4,28.1
248500415,33.62,34.48
200067320,27.94,28.65
246700306,38.93,39.92
200069847,27.06,27.75
240200584,34.39,35.27
247600497,37.5,38.46
200071496,36.01,36.93
245600465,45.8,46.97
200071769,31.76,32.57
200072304,48.61,49.85
200040889,32.96,33.8
200068534,25.86,26.52
200070506,42.98,44.08
200066330,35.27,36.17
244000857,50.39,51.67
242504355,31.07,31.87
200040210,42.66,43.75
200066132,26.53,27.2
200066553,47.0,48.2
247300452,50.2,51.48
200070282,29.38,30.13
244000774,38.65,39.64
244600433,34.48,35.36
200067189,31.59,32.39
200039808,38.33,39.3
244000824,36.67,37.61
243200599,38.26,39.24
241500255,43.75,44.87
247000706,21.44,21.99
242101509,29.6,30.35
200070910,33.49,34.35
200070332,31.62,32.43
241200658,43.07,44.17
200072056,36.29,37.22
200043438,23.56,24.16
200036523,32.13,32.95
200066223,40.14,41.16
200069748,27.37,28.06
200016905,35.49,36.4
200070852,28.84,29.58
200069235,23.69,24.3
242101442,47.94,49.16
200071181,27.68,28.39
200040798,54.83,56.23
200035848,41.01,42.06
241200641,38.5,39.48
200069144,38.39,39.37
200067452,44.86,46.01
200066892,27.01,27.7
242504488,46.53,47.72
200040558,41.09,42.14
240500462,52.12,53.45
200069516,27.84,28.56
200066033,23.06,23.65
200066603,37.66,38.62
246400337,36.44,37.37
200034726,30.68,31.46
240200501,24.83,25.47
240700302,35.45,36.35
200044030,27.71,28.42
240200469,25.83,26.49
245801063,35.5,36.41
200015162,31.18,31.98
247300668,29.41,30.16
246800205,33.92,34.78
241200906,38.52,39.5
200072718,29.79,30.55
200066561,42.36,43.44
200073237,37.26,38.21
200034205,40.76,41.8
245100979,38.74,39.73
200072023,32.97,33.81
243200409,33.14,33.99
246000749,34.2,35.07
200070738,24.97,25.61
200072635,26.72,27.4
247104094,28.5,29.22
200072098,30.65,31.44
200067080,32.92,33.76
243900412,28.29,29.01
246100390,28.78,29.51
200066678,34.05,34.92
200069268,41.7,42.77
200069151,46.86,48.06
241800325,37.39,38.34
248719353,47.39,48.6
200068096,39.13,40.13
200069599,24.21,24.82
245501259,28.16,28.88
200039907,30.37,31.15
248719262,44.4,45.53
200073401,40.44,41.47
247300676,36.56,37.5
241200625,34.34,35.21
200068435,40.75,41.79
200067882,35.16,36.06
200072825,26.1,26.77
241200542,40.16,41.19
200035541,31.99,32.81
244200630,36.92,37.86
247100647,30.09,30.86
242504496,26.69,27.37
241700517,27.9,28.61
200035723,41.75,42.82
241200807,43.82,44.93
200067890,31.11,31.9
200068880,27.34,28.04
248200107,40.86,41.91
200042414,34.09,34.96
200040038,21.94,22.5
200040426,27.85,28.56
200035533,33.64,34.5
247400047,32.82,33.66
200069631,23.31,23.9
241501089,43.74,44.86
200069565,27.76,28.47
244600532,30.1,30.87
200034197,27.76,28.47
200039519,42.53,43.62
245804497,36.63,37.57
243900610,33.21,34.06
200039931,33.82,34.69
200039055,29.88,30.64
200066637,39.32,40.32
200073120,30.6,31.38
244701405,27.71,28.42
200069482,20.91,21.44
246600464,40.74,41.78
246700777,22.9,23.48
200066017,26.32,27.0
248900748,26.64,27.32
242500320,24.08,24.69
200067379,27.59,28.3
246600423,40.25,41.27
241000488,24.36,24.98
246300966,42.47,43.55
200073146,26.43,27.11
200066348,34.41,35.29
246000855,21.57,22.12
247100639,31.29,32.09
200071025,31.41,32.21
200049484,25.53,26.19
200035632,28.08,28.8
200039063,20.96,21.5
200013050,32.41,33.24
200034056,27.28,27.98
247000854,28.05,28.77
200018521,33.93,34.8
241501055,38.43,39.41
247000623,29.39,30.14
244200614,32.98,33.83
200067171,41.28,42.34
243901071,25.01,25.65
200069433,26.68,27.37
200042943,31.87,32.69
244000881,33.04,33.88
200034874,22.7,23.28
200066520,36.03,36.96
240700617,31.98,32.79
200070589,23.32,23.91
200067544,29.56,30.31
200041051,37.04,37.99
243901089,24.0,24.62
200071207,24.53,25.16
245200597,22.42,23.0
200036150,26.39,27.06
200040830,29.97,30.73
247000367,21.58,22.13
248719338,36.74,37.68
200069615,25.51,26.16
