CODGEO,gare_nat,gare_reg,gare_loc,points_gare
52269,0,0,1,4
52448,0,1,0,7
52524,0,0,1,4
54028,0,0,1,4
54029,0,0,1,4
54035,0,0,1,4
54038,0,0,1,4
54039,0,1,0,7
54060,0,0,1,4
54065,0,0,1,4
54115,0,0,1,4
54125,0,0,1,4
54152,0,1,0,7
54157,0,1,0,7
54159,0,2,0,7
54175,0,0,1,4
54199,0,0,1,4
54202,0,0,1,4
54205,0,0,1,4
54215,0,0,1,4
54253,0,0,1,4
54263,0,0,1,4
54265,0,0,1,4
54273,0,1,0,7
54274,0,0,1,4
54280,0,0,1,4
54300,0,0,1,4
54318,0,0,1,4
54322,0,0,1,4
54323,0,1,0,7
54328,0,0,1,4
54329,0,1,0,7
54351,0,0,1,4
54366,0,0,1,4
54383,0,0,1,4
54395,1,0,0,10
54397,0,0,1,4
54410,0,0,1,4
54415,0,1,0,7
54430,0,0,1,4
54431,0,1,0,7
54432,0,0,1,4
54472,0,0,1,4
54519,0,0,1,4
54528,0,1,0,7
54542,0,0,1,4
54546,0,0,1,4
54549,0,1,0,7
54585,0,1,0,7
55029,0,1,0,7
55122,0,1,0,7
55158,0,0,1,4
55181,0,0,1,4
55254,1,0,0,10
55288,0,0,1,4
55351,0,0,1,4
55372,0,0,1,4
55398,0,0,1,4
55427,0,0,1,4
55545,0,1,0,7
57019,0,0,1,4
57021,0,0,1,4
57026,0,0,1,4
57032,0,1,0,7
57060,0,0,1,4
57061,0,1,0,7
57066,0,0,1,4
57156,0,0,1,4
57207,0,0,1,4
57208,0,0,1,4
57209,0,1,0,7
57227,0,1,0,7
57283,0,1,0,7
57287,0,0,1,4
57306,0,0,1,4
57319,0,0,1,4
57323,0,1,0,7
57332,0,0,1,4
57340,0,0,1,4
57355,0,0,1,4
57370,0,0,1,4
57422,1,0,0,10
57427,0,0,1,4
57433,0,1,1,7
57437,0,0,1,4
57463,1,0,1,10
57483,0,0,1,4
57491,0,0,1,4
57515,0,1,0,7
57534,0,0,1,4
57566,0,0,1,4
57572,0,1,0,7
57591,0,0,1,4
57627,0,0,1,4
57630,0,1,0,7
57631,0,1,0,7
57650,0,0,1,4
57668,0,0,1,4
57672,1,0,0,10
57683,0,1,0,7
57690,0,1,0,7
57751,0,1,0,7
67021,0,1,0,7
67025,0,0,1,4
67028,0,1,0,7
67045,0,1,0,7
67046,0,1,0,7
67059,0,0,1,4
67067,0,1,1,7
67080,0,1,0,7
67084,0,0,1,4
67089,0,1,0,7
67095,0,1,0,7
67101,0,1,0,7
67106,0,1,0,7
67108,0,1,0,7
67115,0,0,1,4
67120,0,0,1,4
67124,0,1,0,7
67125,0,0,1,4
67130,0,1,0,7
67144,0,0,1,4
67151,0,1,0,7
67152,0,0,2,4
67155,0,0,1,4
67164,0,0,1,4
67168,0,1,0,7
67176,0,0,1,4
67180,0,1,1,7
67194,0,1,0,7
67200,0,0,1,4
67202,0,1,0,7
67204,0,0,1,4
67205,0,1,0,7
67206,0,0,1,4
67222,0,1,0,7
67237,0,0,1,4
67246,0,0,1,4
67252,0,0,1,4
67261,0,0,1,4
67267,0,0,2,4
67268,0,1,0,7
67285,0,0,1,4
67291,0,0,1,4
67299,0,0,1,4
67300,0,1,1,7
67301,0,1,0,7
67305,0,0,1,4
67306,0,1,0,7
67308,0,0,1,4
67309,0,0,1,4
67313,0,1,0,7
67324,0,1,0,7
67347,0,1,0,7
67348,0,1,0,7
67355,0,0,1,4
67388,0,1,0,7
67400,0,0,1,4
67405,0,0,1,4
67411,0,1,0,7
67414,0,1,0,7
67418,0,0,1,4
