codgeo,libgeo,epci,pop,n_types_socle_presents,score_socle,taux_couverture_socle
16252,Orival,200070282,151,1,2.8,2.87
18183,Le Pondy,241800424,151,1,2.8,2.87
19119,Lostanges,200066769,151,2,4.0,4.1
21338,Lamargelle,200039063,151,6,25.62,26.27
21379,Marcheseuil,200071173,151,1,2.8,2.87
26060,Bouvières,242600492,151,1,2.8,2.87
27604,Saint-Sulpice-de-Grimbouville,200066827,151,1,2.8,2.87
2A115,Foce,242010130,151,3,12.7,13.02
2A132,Guargualé,200038958,151,1,2.8,2.87
2B260,Riventosa,242020071,151,3,9.52,9.76
32353,Sabaillan,243200599,151,2,5.08,5.21
33129,Cleyrac,200069599,151,1,2.8,2.87
33149,Daubèze,200069599,151,1,2.8,2.87
34137,Liausson,243400355,151,2,5.08,5.21
36167,Preuilly-la-Ville,243600319,151,1,2.8,2.87
38040,Besse,243800745,151,4,6.6,6.77
48001,Albaret-le-Comtal,200069144,151,1,2.8,2.87
48083,Les Laubies,200069102,151,2,4.2,4.31
51167,Coole,200034718,151,4,13.9,14.25
52229,Grenant,200070332,151,2,4.2,4.31
52388,Pierremont-sur-Amance,200070332,151,2,9.1,9.33
54052,Battigny,245400510,151,1,2.8,2.87
54142,Crantenoy,200035772,151,1,2.8,2.87
54489,Saint-Supplet,200043693,151,2,5.08,5.21
55134,Couvonges,245501184,151,1,2.8,2.87
57105,Boustroff,200067502,151,2,6.4,6.56
57229,Foulcrey,200068146,151,1,2.8,2.87
58038,Breugnon,200067429,151,1,2.8,2.87
60371,Loueuse,246000848,151,1,2.8,2.87
61114,Commeaux,200068450,151,2,6.4,6.56
61256,Médavy,200035111,151,2,4.0,4.1
62862,Vincly,200069235,151,1,2.8,2.87
63256,Novacelles,200070761,151,2,4.2,4.31
65211,Guchan,246500573,151,1,2.8,2.87
70129,La Chapelle-Saint-Quillain,247000698,151,2,5.08,5.21
70210,Écromagny,247000854,151,1,2.8,2.87
70380,Neurey-en-Vaux,200041879,151,3,8.44,8.66
70535,Velleguindry-et-Levrecey,247000367,151,2,4.2,4.31
71411,Saint-Eugène,200070530,151,1,2.8,2.87
74107,Droisy,200070852,151,1,2.8,2.87
80526,Le Meillard,200070951,151,2,5.08,5.21
81310,Veilhes,200034023,151,3,9.52,9.76
81320,Vindrac-Alayrac,200034064,151,1,2.8,2.87
82061,Féneyrols,248200107,151,2,11.2,11.49
87189,Les Salles-Lavauguyon,200059400,151,4,7.68,7.88
89019,Arthonnay,200039642,151,2,5.08,5.21
91473,Orveau,249100546,151,3,6.28,6.44
01101,Chevillard,200042935,150,1,2.8,2.87
02784,Petit-Verly,200071983,150,1,2.8,2.87
03141,Lavoine,200071363,150,4,7.5,7.69
03308,Vernusse,200071512,150,2,5.08,5.21
05019,La Beaume,200067445,150,4,6.8,6.97
07075,Cros-de-Géorand,200072007,150,5,13.3,13.64
09074,Camon,200044469,150,5,12.32,12.63
11364,Saint-Polycarpe,200071926,150,2,4.2,4.31
15200,Saint-Martin-Cantalès,241501139,150,3,5.6,5.74
23234,Saint-Priest,200067593,150,1,2.8,2.87
23252,Tercillat,200041556,150,2,4.2,4.31
24216,La Jemaye-Ponteyraud,200040400,150,2,4.0,4.1
24230,Larzac,200041051,150,1,2.8,2.87
25591,Vaufrey,200023075,150,5,13.64,13.99
28272,Mottereau,200058360,150,3,8.68,8.9
29116,Lanneuffret,242900801,150,1,2.8,2.87
2B136,Lama,200073104,150,2,4.2,4.31
31078,Boudrac,200072643,150,1,2.8,2.87
32043,Belmont,243200607,150,2,4.0,4.1
32138,Garravet,243200599,150,2,5.08,5.21
32315,Peyrusse-Grande,243200607,150,2,5.08,5.21
33247,Listrac-de-Durèze,243301371,150,1,2.8,2.87
34098,Ferrals-les-Montagnes,200066348,150,4,10.04,10.3
36052,Chouday,200068880,150,3,6.28,6.44
39467,Rotalier,200072056,150,1,2.8,2.87
51006,Alliancelles,200067379,150,2,6.4,6.56
51595,Vatry,200066876,150,1,2.8,2.87
54108,Burthecourt-aux-Chênes,245400189,150,1,2.8,2.87
54478,Saint-Marcel,200070845,150,1,2.8,2.87
57308,Hazembourg,200070746,150,1,2.8,2.87
60688,Villers-sur-Bonnières,246000848,150,1,2.8,2.87
62806,Tardinghen,246200380,150,2,4.9,5.03
63079,Champagnat-le-Jeune,200070407,150,1,2.8,2.87
64427,Orion,200067288,150,3,8.44,8.66
65151,Collongues,200070803,150,2,4.0,4.1
