CODGEO,nb_assos,nb_environnement,nb_culture,nb_social,nb_sport,nb_sante,nb_auto,pop,densite_assos_1000hab,densite_environnement_1000hab,densite_culture_1000hab,densite_social_1000hab,densite_sport_1000hab
17470,2,0,0,0,0,0,0,224.0,8.93,0.0,0.0,0.0,0.0
17472,5,0,1,0,0,0,0,2316.0,2.16,0.0,0.43,0.0,0.0
17473,4,0,1,0,1,0,0,123.0,32.52,0.0,8.13,0.0,8.13
17474,11,0,0,1,1,0,0,744.0,14.78,0.0,0.0,1.34,1.34
17477,4,1,1,1,0,1,0,107.0,37.38,9.35,9.35,9.35,0.0
17478,2,0,0,0,0,0,0,64.0,31.25,0.0,0.0,0.0,0.0
17479,4,0,1,0,0,0,0,303.0,13.2,0.0,3.3,0.0,0.0
17480,4,0,1,0,0,0,0,747.0,5.35,0.0,1.34,0.0,0.0
17482,5,0,1,0,2,0,0,641.0,7.8,0.0,1.56,0.0,3.12
17483,12,0,4,1,2,0,2,1505.0,7.97,0.0,2.66,0.66,1.33
17484,21,2,5,1,1,1,0,1761.0,11.93,1.14,2.84,0.57,0.57
17486,7,0,0,0,2,0,0,688.0,10.17,0.0,0.0,0.0,2.91
18001,9,0,2,0,5,0,0,348.0,25.86,0.0,5.75,0.0,14.37
18002,6,0,6,0,0,0,0,190.0,31.58,0.0,31.58,0.0,0.0
18004,20,1,4,1,4,0,0,1111.0,18.0,0.9,3.6,0.9,3.6
18005,4,0,1,1,1,0,0,1079.0,3.71,0.0,0.93,0.93,0.93
18006,2,0,0,0,0,0,0,245.0,8.16,0.0,0.0,0.0,0.0
18007,2,0,1,0,0,0,0,68.0,29.41,0.0,14.71,0.0,0.0
18008,9,0,2,0,3,0,0,487.0,18.48,0.0,4.11,0.0,6.16
18009,1,0,1,0,0,0,0,274.0,3.65,0.0,3.65,0.0,0.0
18010,1,0,0,0,0,0,0,201.0,4.98,0.0,0.0,0.0,0.0
18011,24,0,4,3,3,0,0,2057.0,11.67,0.0,1.94,1.46,1.46
18012,2,0,0,0,0,0,0,440.0,4.55,0.0,0.0,0.0,0.0
18013,5,0,0,1,0,0,0,299.0,16.72,0.0,0.0,3.34,0.0
18014,3,0,0,0,1,0,0,146.0,20.55,0.0,0.0,0.0,6.85
18015,80,0,11,8,11,0,1,5476.0,14.61,0.0,2.01,1.46,2.01
18016,4,0,1,0,1,0,0,403.0,9.93,0.0,2.48,0.0,2.48
18017,4,0,1,0,1,0,0,284.0,14.08,0.0,3.52,0.0,3.52
18018,20,0,3,1,2,0,1,2833.0,7.06,0.0,1.06,0.35,0.71
18019,12,0,4,2,2,0,0,450.0,26.67,0.0,8.89,4.44,4.44
18020,5,1,1,1,0,0,0,843.0,5.93,1.19,1.19,1.19,0.0
18021,3,0,0,0,0,0,0,259.0,11.58,0.0,0.0,0.0,0.0
18022,4,1,0,1,0,0,0,339.0,11.8,2.95,0.0,2.95,0.0
18023,15,0,3,3,3,0,0,1625.0,9.23,0.0,1.85,1.85,1.85
18024,4,0,0,0,1,0,0,104.0,38.46,0.0,0.0,0.0,9.62
18025,13,1,2,1,2,0,0,603.0,21.56,1.66,3.32,1.66,3.32
18026,17,1,3,0,3,1,1,990.0,17.17,1.01,3.03,0.0,3.03
18027,12,1,3,1,2,0,0,650.0,18.46,1.54,4.62,1.54,3.08
18028,11,0,2,0,1,1,0,1168.0,9.42,0.0,1.71,0.0,0.86
18029,2,1,0,0,2,0,0,296.0,6.76,3.38,0.0,0.0,6.76
18030,5,0,4,0,2,0,0,1005.0,4.98,0.0,3.98,0.0,1.99
18031,6,0,2,0,0,0,1,563.0,10.66,0.0,3.55,0.0,0.0
18032,9,0,2,0,3,0,0,1377.0,6.54,0.0,1.45,0.0,2.18
18033,1333,26,258,134,174,45,30,63702.0,20.93,0.41,4.05,2.1,2.73
18034,5,1,0,0,0,0,0,296.0,16.89,3.38,0.0,0.0,0.0
18035,10,1,2,0,1,0,1,1011.0,9.89,0.99,1.98,0.0,0.99
18036,10,0,1,0,1,0,0,524.0,19.08,0.0,1.91,0.0,1.91
18037,13,0,1,1,2,0,0,972.0,13.37,0.0,1.03,1.03,2.06
18038,9,0,1,1,1,0,0,566.0,15.9,0.0,1.77,1.77,1.77
18039,1,1,0,0,0,0,0,314.0,3.18,3.18,0.0,0.0,0.0
18040,2,1,0,0,1,0,0,353.0,5.67,2.83,0.0,0.0,2.83
18044,4,0,2,0,0,0,0,402.0,9.95,0.0,4.98,0.0,0.0
18045,1,0,0,0,0,0,0,391.0,2.56,0.0,0.0,0.0,0.0
18046,5,0,1,0,1,0,0,158.0,31.65,0.0,6.33,0.0,6.33
