CODGEO,variete_equip,nb_equip_total,densite_equip_1000hab
91200,71,275,24.38
91201,70,574,19.68
91204,8,10,13.44
91207,41,142,21.02
91215,46,182,15.33
91216,62,225,20.91
91223,80,634,23.9
91225,25,48,15.55
91226,52,146,21.26
91228,83,1475,22.29
91232,41,114,31.24
91235,47,136,9.73
91240,3,5,29.07
91243,21,44,19.16
91244,22,41,26.21
91247,9,10,19.92
91248,5,5,31.65
91249,25,84,20.33
91272,76,317,14.18
91273,11,12,15.75
91274,27,45,29.88
91275,29,61,23.33
91284,14,18,15.22
91286,64,517,18.97
91292,16,21,23.33
91293,10,17,19.25
91294,11,24,29.52
91312,49,177,17.33
91315,41,148,22.41
91318,19,38,19.46
91319,12,18,27.99
91326,67,480,26.05
91330,41,103,18.7
91332,18,27,17.32
91333,30,103,23.93
91338,59,157,24.41
91339,39,201,28.58
91340,50,280,38.4
91345,70,443,21.48
91347,37,195,30.39
91359,29,67,23.91
91363,47,211,25.03
91374,4,4,16.81
91376,38,95,16.76
91377,76,829,16.27
91378,4,4,10.78
91386,61,294,18.71
91390,35,85,25.27
91393,6,10,15.87
91399,3,3,14.93
91405,59,187,40.63
91408,18,33,25.8
91411,24,33,17.41
91412,10,17,23.32
91414,9,9,23.81
91421,74,521,21.89
91425,54,284,32.76
91432,54,345,26.11
91433,39,84,19.07
91434,54,402,19.34
91435,12,18,32.03
91441,13,18,34.62
91457,34,77,17.86
91458,35,98,21.87
91461,29,101,19.01
91463,18,28,27.16
91468,17,49,19.08
91469,13,16,17.02
91471,64,393,24.55
91473,2,2,13.25
91477,76,555,15.91
91479,46,236,29.99
91482,12,15,26.88
91494,28,50,12.06
91495,3,5,15.2
91507,7,8,26.76
91508,8,8,30.65
91511,27,56,25.82
91514,46,256,27.01
91519,6,7,17.9
91521,70,726,24.34
91525,20,33,25.11
91526,3,3,27.78
91533,36,57,30.86
91534,39,84,19.43
91538,15,20,29.37
91540,43,92,17.62
91544,7,8,16.36
91546,19,29,30.46
91547,13,14,29.6
91549,77,930,25.94
91552,49,214,18.93
91553,48,118,15.79
91556,6,6,14.81
91560,11,19,39.92
91568,21,37,24.09
91570,62,350,16.33
91573,55,210,17.98
91577,32,98,16.81
91578,9,10,37.04
91579,22,38,12.57
91581,6,7,7.73
91587,44,145,22.03
91589,73,850,22.74
91593,21,43,26.98
91599,23,40,33.14
91600,48,135,18.44
91602,7,8,17.24
91613,6,7,32.71
91617,34,80,18.53
91619,6,9,32.37
91629,10,21,33.82
91630,20,38,24.93
91631,30,84,36.59
91634,17,40,28.23
91635,22,29,14.04
91639,15,22,22.7
91645,64,288,19.73
91648,30,45,19.98
91649,26,49,17.82
91654,11,16,27.21
91657,66,592,19.07
91659,51,152,27.85
91661,58,322,31.2
91662,11,18,23.78
91665,53,230,28.47
91666,24,96,38.46
91667,37,115,16.15
91671,9,15,25.25
91679,17,23,20.97
91685,27,78,17.02
91687,77,703,22.64
91689,40,148,21.17
91691,65,531,18.5
91692,69,431,17.07
92002,82,964,15.25
92004,83,1776,19.81
92007,68,635,14.53
92009,63,479,16.09
92012,84,2521,21.04
92014,76,369,17.73
92019,70,423,12.12
92020,75,518,14.08
92022,64,289,14.46
92023,77,1008,18.5
92024,77,1512,23.32
92025,85,1463,16.46
92026,82,1393,17.09
92032,70,319,12.88
92033,61,264,14.75
92035,69,549,18.34
92036,77,954,19.31
92040,77,1129,16.46
92044,79,1712,25.17
92046,73,567,18.72
92047,19,32,18.34
92048,75,700,15.11
92049,72,769,16.14
92050,88,1827,18.77
92051,73,1374,23.18
92060,70,338,11.56
92062,75,1205,27.59
92063,84,1389,17.77
92064,77,492,16.55
92071,72,329,16.06
92072,72,379,16.76
92073,81,784,15.97
92075,68,376,13.42
92076,54,142,16.58
92077,54,129,12.06
92078,68,506,19.94
93001,83,2420,26.87
93005,83,2198,25.52
93006,76,836,21.24
93007,71,1283,22.02
93008,82,1475,26.79
93010,77,1147,21.68
93013,57,423,28.52
93014,59,679,22.84
93015,34,123,24.29
93027,76,1118,23.71
93029,79,2314,32.43
93030,47,154,13.59
93031,73,1158,21.65
93032,70,828,20.6
93033,39,160,23.25
93039,50,217,25.05
93045,64,534,22.75
93046,75,1144,24.85
93047,62,857,30.63
93048,85,2936,26.34
93049,66,450,21.01
93050,66,610,16.25
93051,79,1407,19.99
93053,73,1119,24.28
93055,81,1886,31.02
93057,67,986,40.8
93059,67,702,
93061,56,319,18.91
93062,62,563,37.84
93063,69,674,20.26
93064,80,1219,26.7
93066,88,2962,91.48
93070,81,1920,36.09
93071,76,976,18.83
93072,67,799,19.8
93073,74,869,23.32
93074,45,186,24.87
93077,71,760,25.06
93078,69,763,19.7
93079,51,217,17.14
94001,43,133,22.37
94002,75,1070,23.75
94003,64,468,21.71
94004,63,384,21.86
94011,65,392,20.91
94015,66,320,18.39
94016,68,467,15.27
94017,85,1793,23.07
94018,70,594,20.17
94019,70,499,27.17
94021,62,335,16.48
94022,71,969,21.01
94028,86,1741,18.72
94033,79,1015,19.59
94034,69,458,15.91
94037,59,333,17.48
94038,64,436,13.89
94041,78,1482,23.16
94042,60,328,16.07
94043,67,484,19.85
94044,59,482,17.21
94046,78,1042,17.94
94047,37,136,28.19
94048,38,84,17.91
94052,76,650,19.42
94053,35,115,24.95
94054,67,502,20.5
94055,54,290,27.51
94056,20,47,17.25
94058,69,656,19.17
94059,54,392,19.39
94060,53,230,19.04
94065,49,159,28.16
94067,66,459,21.66
94068,84,1992,26.4
94069,52,251,17.19
94070,34,98,24.48
94071,78,529,19.15
94073,76,717,23.06
94074,51,312,21.54
94075,55,275,23.62
94076,74,912,15.79
94077,68,530,25.08
94078,68,891,25.1
94079,68,565,18.42
94080,74,1210,24.8
94081,82,1773,18.43
95002,16,25,22.58
95008,15,19,21.74
95011,8,9,22.9
95012,10,11,53.14
95014,29,64,23.73
95018,87,2610,24.34
95019,56,456,31.26
95023,12,17,27.24
95024,7,8,29.85
95026,28,56,18.17
95028,18,30,17.0
95039,42,156,23.07
95040,14,18,20.81
95042,23,54,28.53
95046,5,6,40.82
95051,47,218,23.8
95052,57,260,27.11
95054,4,4,18.35
95055,11,12,25.48
95056,24,58,26.03
95058,23,49,18.0
95059,8,10,27.32
95060,40,153,18.72
95061,7,9,21.53
95063,68,716,22.36
95074,11,20,23.28
95078,27,58,28.66
95088,17,41,35.16
95091,37,93,14.13
95094,7,9,29.51
95101,22,30,31.25
95102,5,5,11.96
95110,9,9,40.36
95116,28,56,12.86
95119,5,6,18.63
95120,25,50,22.18
95127,83,1233,18.04
95134,28,91,18.12
95139,6,6,18.87
95141,2,2,57.14
95142,24,47,23.18
95144,4,4,51.95
95149,32,73,21.75
95150,12,14,22.69
95151,5,6,20.2
95154,12,15,49.02
95157,4,4,33.9
