codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
57097,,22000,15,2.9,12180,35090,47,2212,4990,3435.4,71.6,66.1,2.9,2.6,27.6,6.7,6.6,2.3,1.2,3.1,-12.5
57098,,22420,,,,,,99,241,164.4,,,,,,,,,,,
57099,,19920,,,,,,100,240,161.8,,,,,,,,,,,
57100,,24540,,,,,,57,141,94.9,,,,,,,,,,,
57101,,25050,,,,,,478,1159,777.7,,,,,,,,,,,
57102,,28700,,3,16670,50590,54,1344,3168,2155.6,54.5,50.5,1.8,2.2,22.1,33.3,1.7,0.8,0.3,0.6,-11.6
57103,,20820,,,,,,53,119,83.6,,,,,,,,,,,
57104,,34980,,,,,,452,1115,743.6,,,,,,,,,,,
57105,,24170,,,,,,56,148,98,,,,,,,,,,,
57106,,18840,28,3.7,9180,34130,38,1452,3345,2292.2,57.5,48.9,3.8,4.8,33.8,13,7.1,2,1.6,3.5,-11.4
57108,,22290,,,,,,144,298,214.4,,,,,,,,,,,
57109,,33810,,,,,,301,758,493.5,,,,,,,,,,,
57110,,22060,,,,,,172,415,281.2,,,,,,,,,,,
57111,,25980,,,,,,225,510,353,,,,,,,,,,,
57113,,24230,,,,,,382,982,644.9,,,,,,,,,,,
57114,,25160,,,,,,179,434,295.8,,,,,,,,,,,
57115,,22580,,,,,,38,105,68,,,,,,,,,,,
57117,,26080,,,,,,213,532,355.3,,,,,,,,,,,
57118,,25090,,,,,,67,158,108.6,,,,,,,,,,,
57119,,24080,,,,,,500,1207,814.9,,,,,,,,,,,
57120,,20910,,,,,,53,111,79.8,,,,,,,,,,,
57121,,24210,,,,,,87,214,143.1,,,,,,,,,,,
57122,,23810,,,,,,285,663,457.8,,,,,,,,,,,
57123,,20940,18,3,11340,33820,47,1402,3185,2194.6,65.1,59.9,2.9,2.3,35,5.8,6.6,2.3,1.2,3.1,-12.5
57124,,28820,11,4,13330,53190,42,1032,2390,1634,49.7,44.3,2.2,3.2,18.4,40.5,1.8,0.7,0.3,0.8,-10.4
